Row_No,Name,Change,Change (%),Price (Intraday),YTD Return (%),3-Mo Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%),Net Expense Ratio (%),Gross Expense Ratio (%),Net Assets,50 Day Avg,200 Day Avg,52 Week Range,Exchange,Funds by Category,Funds by Company,52 Week Low,52 Week High
9965,Calamos Hedged Equity I,0.22,1.07,20.74,6.04,2.83,11.38,15.88,13.31,0.9,0.9,862228000.0,20.27,19.53,18.19 20.52,Nasdaq,Equity Hedged,Calamos,18.19,20.52
9966,Invesco Convertible Securities A,0.52,1.82,29.17,16.67,2.06,15.83,7.87,4.68,0.71,0.71,861233000.0,29.19,27.32,24.34 30.56,Nasdaq,Convertibles,Invesco,24.34,30.56
9967,Invesco Convertible Securities C,0.51,1.8,28.87,16.13,1.85,15.01,7.12,3.94,0.71,0.71,861233000.0,28.89,27.05,24.12 30.23,Nasdaq,Convertibles,Invesco,24.12,30.23
9968,Invesco Convertible Securities Y,0.52,1.81,29.24,16.87,2.12,16.14,8.17,4.93,0.71,0.71,861233000.0,29.26,27.38,24.39 30.65,Nasdaq,Convertibles,Invesco,24.39,30.65
9969,Invesco Convertible Securities R6,0.52,1.81,29.19,16.91,2.15,16.28,8.29,5.06,0.71,0.71,861233000.0,29.21,27.34,24.34 30.60,Nasdaq,Convertibles,Invesco,24.34,30.6
9970,Invesco Convertible Securities R5,0.52,1.81,29.18,14.64,0.77,16.22,8.22,4.96,0.71,0.71,861233000.0,29.2,27.33,24.34 30.58,Nasdaq,Convertibles,Invesco,24.34,30.58
9971,"Bernstein Fund, Inc - Small Cap Core Portfolio",0.27,1.91,14.4,20.29,7.29,7.36,20.49,22.91,0.88,0.88,861106000.0,13.81,12.74,11.36 14.25,Nasdaq,Small Blend,Alliancebernstein,11.36,14.25
9972,"Bernstein Fund, Inc - Small Cap Core Portfolio",0.27,1.9,14.48,20.38,7.33,7.53,20.92,23.29,0.88,0.88,861106000.0,13.88,12.81,11.42 14.32,Nasdaq,Small Blend,Alliancebernstein,11.42,14.32
9973,"Bernstein Fund, Inc - Small Cap Core Portfolio",0.27,1.9,14.47,20.39,7.33,7.54,20.95,23.24,0.88,0.88,861106000.0,13.87,12.8,11.41 14.31,Nasdaq,Small Blend,Alliancebernstein,11.41,14.31
9974,Victory Pioneer Global Equity C,0.39,1.53,25.92,15.36,4.67,40.03,15.82,22.82,0.88,0.88,859041000.0,25.11,23.71,21.51 25.62,Nasdaq,Global Large-Stock Value,Victory Capital Management Inc.,21.51,25.62
9975,Victory Pioneer Global Equity A,0.4,1.5,27.05,15.87,4.88,41.08,16.69,23.7,0.88,0.88,859041000.0,26.19,24.69,22.37 26.71,Nasdaq,Global Large-Stock Value,Victory Capital Management Inc.,22.37,26.71
9976,Victory Pioneer Global Equity R6,0.4,1.49,27.18,16.08,4.98,41.55,17.15,24.26,0.88,0.88,859041000.0,26.31,24.79,22.46 26.83,Nasdaq,Global Large-Stock Value,Victory Capital Management Inc.,22.46,26.83
9977,Victory Pioneer Global Equity Y,0.41,1.52,27.3,16.06,4.96,41.54,17.09,24.3,0.88,0.88,859041000.0,26.42,24.9,22.55 26.94,Nasdaq,Global Large-Stock Value,Victory Capital Management Inc.,22.55,26.94
9978,Franklin Conservative Allocation C,0.13,0.89,14.81,4.55,1.83,11.33,10.62,7.4,0.57,0.57,858176000.0,14.77,14.63,13.93 15.03,Nasdaq,Moderately Conservative Allocation,Franklin Templeton Investments,13.93,15.03
9979,Franklin Conservative Allocation A,0.14,0.93,15.24,5.08,2.04,12.16,11.37,8.18,0.57,0.57,858176000.0,15.19,15.04,14.33 15.46,Nasdaq,Moderately Conservative Allocation,Franklin Templeton Investments,14.33,15.46
