Row_No,Name,Change,Change (%),Price (Intraday),YTD Return (%),3-Mo Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%),Net Expense Ratio (%),Gross Expense Ratio (%),Net Assets,50 Day Avg,200 Day Avg,52 Week Range,Exchange,Funds by Category,Funds by Company,52 Week Low,52 Week High
1,Vanguard Morn Total Stk Mkt Idx Instl,3.34,1.83,185.36,10.51,4.28,17.13,26.02,25.73,0.04,0.04,2298000000000.0,179.2,168.25,150.52 182.22,Nasdaq,Large Blend,Vanguard,150.52,182.22
2,Vanguard Morn Total Stk Mkt Idx Instl Pl,6.25,1.83,347.7,10.51,4.28,17.15,26.03,25.74,0.04,0.04,2298000000000.0,336.15,315.61,282.36 341.82,Nasdaq,Large Blend,Vanguard,282.36,341.82
3,Vanguard Morn Total Stk Mkt Idx InstlSel,6.56,1.83,364.95,10.52,4.28,17.16,26.05,25.75,0.04,0.04,2298000000000.0,352.83,331.27,296.37 358.78,Nasdaq,Large Blend,Vanguard,296.37,358.78
4,Vanguard Morn Total Stk Mkt Idx Admiral,3.34,1.84,185.33,10.5,4.28,17.12,26.01,25.71,0.04,0.04,2298000000000.0,179.17,168.22,150.50 182.18,Nasdaq,Large Blend,Vanguard,150.5,182.18
5,Vanguard Morn Total Stk Mkt Idx Investor,3.34,1.84,185.29,10.48,4.27,17.01,25.89,25.59,0.04,0.04,2298000000000.0,179.13,168.18,150.46 182.14,Nasdaq,Large Blend,Vanguard,150.46,182.14
6,Vanguard 500 Index Fund,6.66,1.79,378.77,10.13,4.19,17.86,26.28,28.7,0.04,0.04,1671000000000.0,366.17,344.34,308.43 373.03,Nasdaq,Large Blend,Vanguard,308.43,373.03
7,Vanguard 500 Index Fund,12.56,1.79,714.35,10.11,4.18,17.83,26.24,28.66,0.04,0.04,1671000000000.0,690.58,649.42,581.73 703.50,Nasdaq,Large Blend,Vanguard,581.73,703.5
8,Vanguard 500 Index Fund,12.56,1.79,714.44,10.05,4.16,17.71,26.11,28.53,0.04,0.04,1671000000000.0,690.65,649.48,581.78 703.53,Nasdaq,Large Blend,Vanguard,581.78,703.53
9,Fidelity 500 Index,4.73,1.79,268.96,10.13,4.19,17.86,26.29,28.69,0.01,0.01,827509000000.0,260.1,244.47,218.92 264.80,Nasdaq,Large Blend,Fidelity Investments,218.92,264.8
10,Vanguard Total Intl Stock Index Inv,0.39,1.42,27.77,12.81,2.53,32.05,15.44,8.61,0.17,0.17,650318000000.0,27.24,25.7,22.23 27.93,Nasdaq,Foreign Large Blend,Vanguard,22.23,27.93
11,Vanguard Total Intl Stock Index Admiral,0.65,1.42,46.45,12.86,2.55,32.18,15.52,8.62,0.17,0.17,650318000000.0,45.57,42.99,37.19 46.73,Nasdaq,Foreign Large Blend,Vanguard,37.19,46.73
12,Vanguard Total Intl Stock Idx Instl Sel,2.74,1.42,195.7,12.88,2.55,32.25,15.56,8.7,0.17,0.17,650318000000.0,191.99,181.14,156.69 196.90,Nasdaq,Foreign Large Blend,Vanguard,156.69,196.9
13,Vanguard Total Intl Stock Idx InstlPls,2.6,1.42,185.79,12.88,2.55,32.25,15.54,8.68,0.17,0.17,650318000000.0,182.27,171.97,148.76 186.94,Nasdaq,Foreign Large Blend,Vanguard,148.76,186.94
14,Vanguard Total Intl Stock Index I,2.6,1.42,185.75,12.87,2.56,32.23,15.53,8.68,0.17,0.17,650318000000.0,182.22,171.93,148.72 186.89,Nasdaq,Foreign Large Blend,Vanguard,148.72,186.89
15,Vanguard Total Bond Market Index Fund,0.03,0.32,9.54,-0.64,-0.78,7.03,5.6,-1.77,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
16,Vanguard Total Bond Market Index Fund,0.03,0.32,9.54,-0.56,-0.74,7.17,5.72,-1.65,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
17,Vanguard Total Bond Market Index Fund,0.03,0.32,9.54,-0.58,-0.75,7.15,5.7,-1.67,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
18,Vanguard Total Bond Market Idx Instl Sel,0.03,0.32,9.54,-0.55,-0.74,7.18,5.74,-1.63,0.03,0.03,397863000000.0,9.6,9.72,9.49 9.88,Nasdaq,Intermediate Core Bond,Vanguard,9.49,9.88
19,Vanguard Total Bond Market II Idx Inv,0.04,0.43,9.41,-0.72,-0.77,7.09,5.58,-1.73,0.02,0.02,386563000000.0,9.46,9.58,9.35 9.74,Nasdaq,Intermediate Core Bond,Vanguard,9.35,9.74
20,Vanguard Total Bond Market II Idx I,0.04,0.43,9.41,-0.68,-0.75,7.17,5.66,-1.67,0.02,0.02,386563000000.0,9.46,9.58,9.35 9.74,Nasdaq,Intermediate Core Bond,Vanguard,9.35,9.74
21,Vanguard Morn Growth Index Admiral,6.08,2.26,275.07,5.0,2.55,19.43,46.77,27.26,0.05,0.05,379207000000.0,265.93,252.04,216.17 278.81,Nasdaq,Large Growth,Vanguard,216.17,278.81
22,Vanguard Morn Growth Index Institutional,6.08,2.26,275.09,5.01,2.55,19.44,46.78,27.27,0.05,0.05,379207000000.0,265.95,252.06,216.18 278.83,Nasdaq,Large Growth,Vanguard,216.18,278.83
23,Vanguard Morn Growth Index Investor,6.09,2.26,275.16,4.92,2.52,19.29,46.6,27.1,0.05,0.05,379207000000.0,266.01,252.11,216.26 278.87,Nasdaq,Large Growth,Vanguard,216.26,278.87
24,American Funds Growth Fd of Amer A,1.69,1.96,88.08,7.37,4.36,19.93,37.2,19.34,0.4,0.4,356856000000.0,86.27,83.43,71.43 90.94,Nasdaq,Large Growth,Capital Group,71.43,90.94
25,American Funds Growth Fd of Amer 529-A,1.65,1.95,86.34,7.35,4.36,19.89,37.12,19.28,0.4,0.4,356856000000.0,84.57,81.83,70.03 89.32,Nasdaq,Large Growth,Capital Group,70.03,89.32
26,American Funds Growth Fd of Amer 529-C,1.4,1.94,73.41,6.87,4.15,18.97,36.1,18.38,0.4,0.4,356856000000.0,71.96,70.02,59.70 77.48,Nasdaq,Large Growth,Capital Group,59.7,77.48
27,American Funds Growth Fd of Amer 529-E,1.62,1.96,84.47,7.18,4.28,19.6,36.81,19.0,0.4,0.4,356856000000.0,82.76,80.13,68.57 87.52,Nasdaq,Large Growth,Capital Group,68.57,87.52
28,American Funds Growth Fd of Amer 529-F-2,1.69,1.96,87.98,30.02,12.75,37.65,19.69,28.54,0.4,0.4,356856000000.0,86.15,83.31,71.30 90.91,Nasdaq,Large Growth,Capital Group,71.3,90.91
29,American Funds Growth Fd of Amer 529F--3,1.68,1.95,87.89,30.02,12.75,37.65,19.69,28.54,0.4,0.4,356856000000.0,86.06,83.22,71.22 90.81,Nasdaq,Large Growth,Capital Group,71.22,90.81
30,American Funds Growth Fd of Amer F-3,1.69,1.95,88.25,7.55,4.44,20.29,37.67,19.7,0.4,0.4,356856000000.0,86.41,83.55,71.50 91.17,Nasdaq,Large Growth,Capital Group,71.5,91.17
31,American Funds Growth Fd of Amer C,1.41,1.96,73.35,6.89,4.16,19.03,36.19,18.44,0.4,0.4,356856000000.0,71.89,69.95,59.64 77.39,Nasdaq,Large Growth,Capital Group,59.64,77.39
32,American Funds Growth Fd of Amer F-1,1.67,1.95,87.13,7.33,4.35,19.86,37.13,19.26,0.4,0.4,356856000000.0,85.34,82.56,70.67 90.05,Nasdaq,Large Growth,Capital Group,70.67,90.05
33,American Funds Growth Fd of Amer F-2,1.68,1.95,87.79,7.49,4.41,20.16,37.49,19.57,0.4,0.4,356856000000.0,85.97,83.14,71.15 90.73,Nasdaq,Large Growth,Capital Group,71.15,90.73
34,American Funds Growth Fd of Amer R-1,1.44,1.95,75.33,6.87,4.14,19.0,36.16,18.4,0.4,0.4,356856000000.0,73.85,71.81,61.26 79.27,Nasdaq,Large Growth,Capital Group,61.26,79.27
35,American Funds Growth Fd of Amer R-2,1.46,1.94,76.74,6.87,4.15,18.99,36.14,18.39,0.4,0.4,356856000000.0,75.23,73.12,62.41 80.59,Nasdaq,Large Growth,Capital Group,62.41,80.59
36,American Funds Growth Fd of Amer R-3,1.62,1.95,84.6,7.14,4.26,19.52,36.76,18.93,0.4,0.4,356856000000.0,82.9,80.27,68.70 87.67,Nasdaq,Large Growth,Capital Group,68.7,87.67
37,American Funds Growth Fd of Amer R-4,1.66,1.95,86.81,7.34,4.35,19.87,37.17,19.27,0.4,0.4,356856000000.0,85.03,82.27,70.42 89.75,Nasdaq,Large Growth,Capital Group,70.42,89.75
38,American Funds Growth Fd of Amer R-5,1.69,1.95,88.16,7.52,4.42,20.23,37.57,19.65,0.4,0.4,356856000000.0,86.33,83.47,71.44 91.08,Nasdaq,Large Growth,Capital Group,71.44,91.08
39,American Funds Growth Fd of Amer R-6,1.7,1.96,88.36,7.56,4.43,20.28,37.65,19.69,0.4,0.4,356856000000.0,86.51,83.65,71.59 91.27,Nasdaq,Large Growth,Capital Group,71.59,91.27
40,American Funds Growth Fd of Amer R-5E,1.66,1.95,86.81,7.46,4.4,20.13,37.45,19.53,0.4,0.4,356856000000.0,85.02,82.24,70.37 89.81,Nasdaq,Large Growth,Capital Group,70.37,89.81
41,American Funds Growth Fd of Amer R-2E,1.6,1.95,83.67,7.06,4.23,19.34,36.55,18.74,0.4,0.4,356856000000.0,82.0,79.46,67.98 86.89,Nasdaq,Large Growth,Capital Group,67.98,86.89
42,Vanguard Institutional Index Instl Pl,10.9,1.79,619.62,10.12,4.19,17.86,26.26,28.69,0.02,0.02,349726000000.0,598.96,566.55,507.80 610.30,Nasdaq,Large Blend,Vanguard,507.8,610.3
43,Vanguard Institutional Index I,10.9,1.79,619.63,10.12,4.19,17.84,26.24,28.67,0.02,0.02,349726000000.0,598.97,566.55,507.81 610.29,Nasdaq,Large Blend,Vanguard,507.81,610.29
44,Vanguard Developed Markets Index Fund,0.53,1.48,36.35,14.23,3.46,35.15,17.8,11.49,0.03,0.03,316310000000.0,35.58,33.37,28.59 36.40,Nasdaq,Foreign Large Blend,Vanguard,28.59,36.4
45,Vanguard Developed Markets Index Fund,0.26,1.47,17.98,14.17,3.42,34.96,17.61,11.35,0.03,0.03,316310000000.0,17.6,16.51,14.14 18.01,Nasdaq,Foreign Large Blend,Vanguard,14.14,18.01
46,Vanguard Developed Markets Index Admiral,0.34,1.49,23.22,14.18,3.43,35.17,17.67,11.43,0.03,0.03,316310000000.0,22.73,21.32,18.27 23.25,Nasdaq,Foreign Large Blend,Vanguard,18.27,23.25
47,Vanguard Developed Markets Index Instl,0.35,1.53,23.26,14.23,3.43,35.16,17.84,11.44,0.03,0.03,316310000000.0,22.76,21.35,18.29 23.29,Nasdaq,Foreign Large Blend,Vanguard,18.29,23.29
48,American Funds American Balanced A,0.48,1.18,41.14,9.06,2.95,18.47,14.01,15.76,0.35,0.35,288087000000.0,40.58,39.17,36.31 41.11,Nasdaq,Moderate Allocation,Capital Group,36.31,41.11
49,American Funds American Balanced F-3,0.48,1.18,41.13,9.26,3.05,18.84,14.34,16.13,0.35,0.35,288087000000.0,40.56,39.16,36.29 41.11,Nasdaq,Moderate Allocation,Capital Group,36.29,41.11
50,American Funds American Balanced F-2,0.48,1.18,41.1,9.17,3.0,18.69,14.23,16.01,0.35,0.35,288087000000.0,40.54,39.14,36.27 41.08,Nasdaq,Moderate Allocation,Capital Group,36.27,41.08
51,American Funds American Balanced C,0.47,1.17,40.74,8.6,2.77,17.6,13.12,14.89,0.35,0.35,288087000000.0,40.19,38.8,35.99 40.69,Nasdaq,Moderate Allocation,Capital Group,35.99,40.69
52,American Funds American Balanced F-1,0.48,1.18,41.09,9.01,2.94,18.42,13.96,15.7,0.35,0.35,288087000000.0,40.53,39.13,36.27 41.06,Nasdaq,Moderate Allocation,Capital Group,36.27,41.06
53,American Funds American Balanced 529-A,0.48,1.18,41.04,9.04,2.96,18.46,13.96,15.71,0.35,0.35,288087000000.0,40.48,39.08,36.22 41.01,Nasdaq,Moderate Allocation,Capital Group,36.22,41.01
54,American Funds American Balanced 529-C,0.48,1.18,41.08,8.53,2.73,17.54,13.1,14.86,0.35,0.35,288087000000.0,40.53,39.12,36.29 41.03,Nasdaq,Moderate Allocation,Capital Group,36.29,41.03
55,American Funds American Balanced 529-E,0.47,1.16,41.0,8.89,2.89,18.17,13.69,15.45,0.35,0.35,288087000000.0,40.45,39.05,36.20 40.97,Nasdaq,Moderate Allocation,Capital Group,36.2,40.97
56,American Funds American Balanced Fund,0.48,1.18,41.14,15.83,5.15,14.37,16.11,19.55,0.35,0.35,288087000000.0,40.58,39.17,36.31 41.12,Nasdaq,Moderate Allocation,Capital Group,36.31,41.12
57,American Funds American Balanced Fund,0.48,1.18,41.14,15.83,5.15,14.37,16.11,19.55,0.35,0.35,288087000000.0,40.57,39.17,36.30 41.12,Nasdaq,Moderate Allocation,Capital Group,36.3,41.12
58,American Funds American Balanced R-2E,0.47,1.16,40.87,8.74,2.82,17.91,13.43,15.21,0.35,0.35,288087000000.0,40.32,38.93,36.10 40.83,Nasdaq,Moderate Allocation,Capital Group,36.1,40.83
59,American Funds American Balanced R-1,0.47,1.17,40.68,8.55,2.74,17.58,13.13,14.89,0.35,0.35,288087000000.0,40.14,38.75,35.94 40.64,Nasdaq,Moderate Allocation,Capital Group,35.94,40.64
60,American Funds American Balanced R-2,0.47,1.17,40.73,8.56,2.76,17.57,13.11,14.86,0.35,0.35,288087000000.0,40.18,38.8,35.98 40.68,Nasdaq,Moderate Allocation,Capital Group,35.98,40.68
61,American Funds American Balanced R-3,0.48,1.19,40.83,8.84,2.86,18.08,13.61,15.36,0.35,0.35,288087000000.0,40.28,38.89,36.05 40.79,Nasdaq,Moderate Allocation,Capital Group,36.05,40.79
62,American Funds American Balanced R-4,0.48,1.18,41.05,9.03,2.95,18.43,13.96,15.72,0.35,0.35,288087000000.0,40.49,39.09,36.23 41.02,Nasdaq,Moderate Allocation,Capital Group,36.23,41.02
63,American Funds American Balanced R-5,0.49,1.2,41.22,9.21,3.01,18.77,14.29,16.08,0.35,0.35,288087000000.0,40.65,39.24,36.37 41.20,Nasdaq,Moderate Allocation,Capital Group,36.37,41.2
64,American Funds American Balanced R-6,0.48,1.18,41.17,9.25,3.02,18.85,14.37,16.11,0.35,0.35,288087000000.0,40.6,39.2,36.33 41.15,Nasdaq,Moderate Allocation,Capital Group,36.33,41.15
65,American Funds American Balanced R-5E,0.48,1.18,41.1,9.16,2.99,18.68,14.21,15.97,0.35,0.35,288087000000.0,40.53,39.13,36.27 41.07,Nasdaq,Moderate Allocation,Capital Group,36.27,41.07
66,Strategic Advisers Fidelity US TtlStk,0.37,1.7,22.18,13.38,5.6,18.31,26.72,25.34,0.46,0.46,257059000000.00003,21.88,20.5,18.34 22.47,Nasdaq,Large Blend,Fidelity Investments,18.34,22.47
67,Vanguard Morn Value Index Investor,1.11,1.29,87.35,16.25,6.84,15.12,9.11,26.31,0.05,0.05,254462000000.0,84.63,78.78,69.00 86.98,Nasdaq,Large Value,Vanguard,69.0,86.98
68,Vanguard Morn Value Index Institutional,1.11,1.29,87.33,16.34,6.89,15.29,9.26,26.48,0.05,0.05,254462000000.0,84.61,78.76,68.98 86.95,Nasdaq,Large Value,Vanguard,68.98,86.95
69,Vanguard Morn Value Index Admiral,1.11,1.29,87.33,16.33,6.87,15.26,9.24,26.49,0.05,0.05,254462000000.0,84.61,78.76,68.98 86.95,Nasdaq,Large Value,Vanguard,68.98,86.95
70,PIMCO Income Adm,0.04,0.37,10.77,0.24,0.06,10.77,9.05,2.35,0.64,0.64,230676000000.0,10.8,10.9,10.66 11.10,Nasdaq,Multisector Bond,Pimco,10.66,11.1
71,PIMCO Income Instl,0.04,0.37,10.77,0.39,0.12,11.04,9.32,2.61,0.64,0.64,230676000000.0,10.8,10.9,10.66 11.10,Nasdaq,Multisector Bond,Pimco,10.66,11.1
72,PIMCO Income I-3,0.04,0.37,10.77,0.3,0.09,10.87,9.15,2.45,0.64,0.64,230676000000.0,10.8,10.9,10.66 11.10,Nasdaq,Multisector Bond,Pimco,10.66,11.1
73,PIMCO Income A,0.04,0.37,10.77,0.15,0.02,10.6,8.88,2.2,0.64,0.64,230676000000.0,10.8,10.9,10.66 11.10,Nasdaq,Multisector Bond,Pimco,10.66,11.1
74,PIMCO Income C,0.04,0.37,10.77,-0.28,-0.16,9.78,8.08,1.43,0.64,0.64,230676000000.0,10.8,10.9,10.66 11.10,Nasdaq,Multisector Bond,Pimco,10.66,11.1
75,PIMCO Income I2,0.04,0.37,10.77,0.33,0.1,10.93,9.21,2.5,0.64,0.64,230676000000.0,10.8,10.9,10.66 11.10,Nasdaq,Multisector Bond,Pimco,10.66,11.1
76,PIMCO Income R,0.04,0.37,10.77,0.01,-0.04,10.33,8.61,1.94,0.64,0.64,230676000000.0,10.8,10.9,10.66 11.10,Nasdaq,Multisector Bond,Pimco,10.66,11.1
77,Vanguard Morn Mid Cap Index Admiral,5.37,1.33,410.55,12.33,4.96,11.67,15.98,24.51,0.05,0.05,223974000000.0,396.32,374.46,344.28 405.18,Nasdaq,Mid-Cap Blend,Vanguard,344.28,405.18
78,Vanguard Morn Mid Cap Index Investor,1.19,1.33,90.52,12.25,4.91,11.53,15.84,24.36,0.05,0.05,223974000000.0,87.37,82.55,75.90 89.33,Nasdaq,Mid-Cap Blend,Vanguard,75.9,89.33
79,Vanguard Morn Mid Cap Index Instl,1.19,1.33,90.7,12.35,4.97,11.67,16.0,24.53,0.05,0.05,223974000000.0,87.55,82.72,76.06 89.51,Nasdaq,Mid-Cap Blend,Vanguard,76.06,89.51
80,Vanguard Morn Mid Cap Index Instl Pl,5.85,1.33,447.29,12.35,4.96,11.69,16.0,24.53,0.05,0.05,223974000000.0,431.79,407.96,375.09 441.44,Nasdaq,Mid-Cap Blend,Vanguard,375.09,441.44
81,American Funds Washington Mutual A,0.8,1.17,69.29,9.82,6.02,17.16,17.22,28.5,0.37,0.37,219016000000.0,67.52,66.74,61.58 69.26,Nasdaq,Large Value,Capital Group,61.58,69.26
82,American Funds Washington Mutual 529-A,0.8,1.17,69.01,9.79,6.0,17.14,17.19,28.47,0.37,0.37,219016000000.0,67.25,66.48,61.34 68.99,Nasdaq,Large Value,Capital Group,61.34,68.99
83,American Funds Washington Mutual 529-C,0.79,1.17,68.43,9.31,5.8,16.24,16.28,27.49,0.37,0.37,219016000000.0,66.7,65.94,60.89 68.40,Nasdaq,Large Value,Capital Group,60.89,68.4
84,American Funds Washington Mutual 529-E,0.79,1.17,68.3,9.64,5.93,16.84,16.88,28.15,0.37,0.37,219016000000.0,66.57,65.83,60.75 68.33,Nasdaq,Large Value,Capital Group,60.75,68.33
85,American Fds Washington Mutual F-3,0.8,1.17,69.24,10.02,6.09,17.51,17.59,28.91,0.37,0.37,219016000000.0,67.46,66.69,61.51 69.23,Nasdaq,Large Value,Capital Group,61.51,69.23
86,American Funds Washington Mutual 529-F-2,0.8,1.17,69.28,20.99,7.1,17.59,28.9,25.93,0.37,0.37,219016000000.0,67.5,66.72,61.55 69.26,Nasdaq,Large Value,Capital Group,61.55,69.26
87,American Funds Washington Mutual 529-F-3,0.8,1.17,69.27,20.99,7.1,17.59,28.9,25.93,0.37,0.37,219016000000.0,67.5,66.72,61.54 69.26,Nasdaq,Large Value,Capital Group,61.54,69.26
88,American Funds Washington Mutual R-2E,0.79,1.16,68.71,9.48,5.87,16.58,16.66,27.87,0.37,0.37,219016000000.0,66.97,66.21,61.11 68.69,Nasdaq,Large Value,Capital Group,61.11,68.69
89,American Funds Washington Mutual R-1,0.78,1.16,68.0,9.29,5.79,16.24,16.33,27.5,0.37,0.37,219016000000.0,66.29,65.55,60.53 68.01,Nasdaq,Large Value,Capital Group,60.53,68.01
90,American Funds Washington Mutual R-2,0.78,1.17,67.47,9.3,5.79,16.23,16.31,27.5,0.37,0.37,219016000000.0,65.78,65.06,60.07 67.53,Nasdaq,Large Value,Capital Group,60.07,67.53
91,American Funds Washington Mutual R-3,0.78,1.16,68.23,9.59,5.92,16.76,16.85,28.06,0.37,0.37,219016000000.0,66.51,65.77,60.70 68.26,Nasdaq,Large Value,Capital Group,60.7,68.26
92,American Funds Washington Mutual R-4,0.79,1.16,68.63,9.78,5.99,17.09,17.18,28.43,0.37,0.37,219016000000.0,66.89,66.13,61.02 68.65,Nasdaq,Large Value,Capital Group,61.02,68.65
93,American Funds Washington Mutual R-5,0.8,1.17,69.24,9.97,6.08,17.44,17.53,28.84,0.37,0.37,219016000000.0,67.47,66.69,61.52 69.23,Nasdaq,Large Value,Capital Group,61.52,69.23
94,American Funds Washington Mutual R-6,0.81,1.18,69.35,10.0,6.08,17.52,17.59,28.9,0.37,0.37,219016000000.0,67.57,66.79,61.60 69.33,Nasdaq,Large Value,Capital Group,61.6,69.33
95,American Funds Washington Mutual R-5E,0.8,1.17,69.09,9.91,6.05,17.33,17.41,28.7,0.37,0.37,219016000000.0,67.33,66.55,61.40 69.08,Nasdaq,Large Value,Capital Group,61.4,69.08
96,American Funds Washington Mutual F-2,0.8,1.17,69.17,9.93,6.06,17.37,17.46,28.77,0.37,0.37,219016000000.0,67.4,66.63,61.46 69.16,Nasdaq,Large Value,Capital Group,61.46,69.16
97,American Funds Washington Mutual C,0.78,1.17,67.71,9.34,5.81,16.29,16.34,27.53,0.37,0.37,219016000000.0,66.01,65.28,60.27 67.74,Nasdaq,Large Value,Capital Group,60.27,67.74
98,American Funds Washington Mutual F-1,0.79,1.16,68.83,9.77,6.0,17.09,17.16,28.41,0.37,0.37,219016000000.0,67.08,66.32,61.19 68.83,Nasdaq,Large Value,Capital Group,61.19,68.83
99,Vanguard Morn Small Cap Index Investor,2.78,1.94,146.26,15.09,4.02,8.7,18.05,17.59,0.05,0.05,188574000000.0,141.66,131.64,114.69 145.14,Nasdaq,Small Blend,Vanguard,114.69,145.14
100,Vanguard Morn Small Cap Index Instl,2.78,1.94,146.27,15.18,4.05,8.85,18.22,17.73,0.05,0.05,188574000000.0,141.68,131.65,114.70 145.13,Nasdaq,Small Blend,Vanguard,114.7,145.13
101,Vanguard Morn Small Cap Index Instl Pl,8.03,1.94,422.2,15.19,4.05,8.86,18.22,17.75,0.05,0.05,188574000000.0,408.93,380.0,331.08 418.90,Nasdaq,Small Blend,Vanguard,331.08,418.9
102,Vanguard Morn Small Cap Index Admiral,2.79,1.94,146.28,15.17,4.05,8.83,18.2,17.73,0.05,0.05,188574000000.0,141.68,131.66,114.71 145.14,Nasdaq,Small Blend,Vanguard,114.71,145.14
103,American Funds Invmt Co of Amer C,1.0,1.47,69.17,11.07,5.3,19.6,27.52,24.07,0.37,0.37,184178000000.0,66.71,64.31,56.73 68.17,Nasdaq,Large Blend,Capital Group,56.73,68.17
104,American Funds Invmt Co of Amer F-1,1.01,1.46,70.11,11.49,5.48,20.43,28.41,24.93,0.37,0.37,184178000000.0,67.61,65.17,57.46 69.10,Nasdaq,Large Blend,Capital Group,57.46,69.1
105,American Funds Invmt Co of Amer A,1.01,1.46,70.41,11.57,5.51,20.5,28.5,25.02,0.37,0.37,184178000000.0,67.9,65.44,57.70 69.40,Nasdaq,Large Blend,Capital Group,57.7,69.4
106,American Funds Invmt Co of Amer 529-A,1.01,1.46,70.1,11.52,5.49,20.47,28.45,24.97,0.37,0.37,184178000000.0,67.6,65.16,57.46 69.09,Nasdaq,Large Blend,Capital Group,57.46,69.09
107,American Funds Invmt Co of Amer 529-C,1.0,1.45,69.97,11.03,5.28,19.53,27.47,24.02,0.37,0.37,184178000000.0,67.48,65.04,57.39 68.97,Nasdaq,Large Blend,Capital Group,57.39,68.97
108,American Funds Invmt Co of Amer 529-E,1.01,1.47,69.72,11.36,5.42,20.17,28.13,24.65,0.37,0.37,184178000000.0,67.23,64.81,57.16 68.71,Nasdaq,Large Blend,Capital Group,57.16,68.71
109,American Funds Invmt Co of Amer 529-F-3,1.02,1.47,70.38,26.22,9.44,28.88,25.4,24.92,0.37,0.37,184178000000.0,67.86,65.41,57.66 69.36,Nasdaq,Large Blend,Capital Group,57.66,69.36
110,American Funds Invmt Co of Amer 529-F-2,1.02,1.47,70.4,26.22,9.44,28.88,25.4,24.92,0.37,0.37,184178000000.0,67.88,65.43,57.68 69.38,Nasdaq,Large Blend,Capital Group,57.68,69.38
111,American Funds Invmt Co of Amer F-3,1.01,1.46,70.37,11.74,5.58,20.87,28.89,25.38,0.37,0.37,184178000000.0,67.85,65.4,57.65 69.36,Nasdaq,Large Blend,Capital Group,57.65,69.36
112,American Funds Invmt Co of Amer F-2,1.02,1.47,70.35,11.66,5.54,20.72,28.76,25.26,0.37,0.37,184178000000.0,67.83,65.38,57.64 69.33,Nasdaq,Large Blend,Capital Group,57.64,69.33
113,American Funds Invmt Co of Amer R-2E,1.01,1.46,70.01,11.21,5.38,19.91,27.85,24.41,0.37,0.37,184178000000.0,67.51,65.07,57.40 69.00,Nasdaq,Large Blend,Capital Group,57.4,69.0
114,American Funds Invmt Co of Amer R-1,1.0,1.46,69.42,11.05,5.29,19.57,27.54,24.05,0.37,0.37,184178000000.0,66.95,64.54,56.94 68.42,Nasdaq,Large Blend,Capital Group,56.94,68.42
115,American Funds Invmt Co of Amer R-2,1.0,1.46,69.54,11.03,5.29,19.53,27.47,24.02,0.37,0.37,184178000000.0,67.07,64.65,57.04 68.54,Nasdaq,Large Blend,Capital Group,57.04,68.54
116,American Funds Invmt Co of Amer R-3,1.01,1.47,69.94,11.31,5.4,20.08,28.04,24.56,0.37,0.37,184178000000.0,67.45,65.01,57.34 68.93,Nasdaq,Large Blend,Capital Group,57.34,68.93
117,American Funds Invmt Co of Amer R-4,1.01,1.46,70.07,11.51,5.48,20.43,28.46,24.95,0.37,0.37,184178000000.0,67.57,65.13,57.43 69.06,Nasdaq,Large Blend,Capital Group,57.43,69.06
118,American Funds Invmt Co of Amer R-5,1.02,1.47,70.4,11.7,5.57,20.78,28.81,25.34,0.37,0.37,184178000000.0,67.88,65.43,57.68 69.38,Nasdaq,Large Blend,Capital Group,57.68,69.38
119,American Funds Invmt Co of Amer R-6,1.01,1.46,70.38,11.73,5.58,20.86,28.88,25.4,0.37,0.37,184178000000.0,67.87,65.41,57.66 69.37,Nasdaq,Large Blend,Capital Group,57.66,69.37
120,American Funds Invmt Co of Amer R-5E,1.02,1.47,70.31,11.63,5.53,20.69,28.69,25.21,0.37,0.37,184178000000.0,67.79,65.34,57.61 69.29,Nasdaq,Large Blend,Capital Group,57.61,69.29
121,American Funds Fundamental Invs C,1.53,1.49,103.97,13.97,5.28,23.35,24.92,21.59,0.38,0.38,181206000000.0,101.76,96.26,85.51 104.75,Nasdaq,Large Blend,Capital Group,85.51,104.75
122,American Funds Fundamental Invs F-1,1.55,1.5,104.76,14.42,5.46,24.2,25.79,22.42,0.38,0.38,181206000000.0,102.51,96.94,86.08 105.56,Nasdaq,Large Blend,Capital Group,86.08,105.56
123,American Funds Fundamental Invs A,1.55,1.5,104.85,14.47,5.48,24.29,25.88,22.49,0.38,0.38,181206000000.0,102.59,97.02,86.14 105.65,Nasdaq,Large Blend,Capital Group,86.14,105.65
124,American Funds Fundamental Invs 529-A,1.54,1.5,104.55,14.45,5.47,24.24,25.81,22.45,0.38,0.38,181206000000.0,102.31,96.76,85.91 105.36,Nasdaq,Large Blend,Capital Group,85.91,105.36
125,American Funds Fundamental Invs 529-C,1.11,1.09,103.16,13.92,5.25,23.29,24.87,21.52,0.38,0.38,181206000000.0,102.49,96.94,86.13 105.49,Nasdaq,Large Blend,Capital Group,86.13,105.49
